M,K,N,latency_ms,num_tiles_M,num_tiles_K,num_tiles_N,total_tiles
4,128,512,0.3029126500223356,1,1,4,4
5,128,512,0.3024956750095953,1,1,4,4
6,128,512,0.2961412000445307,1,1,4,4
7,128,512,0.3041742750156118,1,1,4,4
8,128,512,0.3032286250231664,1,1,4,4
9,128,512,0.29460892494626023,1,1,4,4
10,128,512,0.29562900003838877,1,1,4,4
11,128,512,0.2958922249945317,1,1,4,4
12,128,512,0.2897497000844851,1,1,4,4
13,128,512,0.30389499999046166,1,1,4,4
14,128,512,0.30397009996931956,1,1,4,4
15,128,512,0.3051399250011855,1,1,4,4
16,128,512,0.28981957502765,1,1,4,4
17,128,512,0.29289095000422094,1,1,4,4
18,128,512,0.3053133249977691,1,1,4,4
19,128,512,0.29628384997977264,1,1,4,4
20,128,512,0.3072729250220618,1,1,4,4
21,128,512,0.3123937500163265,1,1,4,4
22,128,512,0.29900117501711065,1,1,4,4
23,128,512,0.2990546750311296,1,1,4,4
24,128,512,0.2942751499631413,1,1,4,4
25,128,512,0.3004606749982486,1,1,4,4
26,128,512,0.29233092501499414,1,1,4,4
27,128,512,0.30714342503870284,1,1,4,4
28,128,512,0.3064210500269837,1,1,4,4
29,128,512,0.29578492503787857,1,1,4,4
30,128,512,0.2972635249989253,1,1,4,4
31,128,512,0.3096711500120364,1,1,4,4
32,128,512,0.2979013000071973,1,1,4,4
33,128,512,0.31059107499231686,1,1,4,4
34,128,512,0.32770205001497743,1,1,4,4
35,128,512,0.2972611750124088,1,1,4,4
36,128,512,0.31068407502061746,1,1,4,4
37,128,512,0.3044257499595915,1,1,4,4
38,128,512,0.3072451749517313,1,1,4,4
39,128,512,0.3089932999841949,1,1,4,4
40,128,512,0.3080279749951842,1,1,4,4
41,128,512,0.30246890001990323,1,1,4,4
42,128,512,0.3113539499508988,1,1,4,4
43,128,512,0.3081104250554745,1,1,4,4
44,128,512,0.2910896499770388,1,1,4,4
45,128,512,0.3025234000574528,1,1,4,4
46,128,512,0.30814589994179187,1,1,4,4
47,128,512,0.30960965001440854,1,1,4,4
48,128,512,0.29348925004342163,1,1,4,4
49,128,512,0.30874492500743145,1,1,4,4
50,128,512,0.30052172498926666,1,1,4,4
51,128,512,0.30684462499266374,1,1,4,4
52,128,512,0.30312042505329373,1,1,4,4
53,128,512,0.30237887508519634,1,1,4,4
54,128,512,0.308648949999224,1,1,4,4
55,128,512,0.3137748750418723,1,1,4,4
56,128,512,0.3143459749935573,1,1,4,4
57,128,512,0.3032155999903807,1,1,4,4
58,128,512,0.29656150004484516,1,1,4,4
59,128,512,0.3011430500464485,1,1,4,4
60,128,512,0.2989926249824748,1,1,4,4
61,128,512,0.29584362498553674,1,1,4,4
62,128,512,0.3021176500396905,1,1,4,4
63,128,512,0.29585589994667316,1,1,4,4
64,128,512,0.2861484249478963,1,1,4,4
65,128,512,0.29920667506075915,1,1,4,4
66,128,512,0.2992569000070944,1,1,4,4
67,128,512,0.2978339250148565,1,1,4,4
68,128,512,0.313904324991654,1,1,4,4
69,128,512,0.31843222500356205,1,1,4,4
70,128,512,0.3039303249693148,1,1,4,4
71,128,512,0.29902067500415797,1,1,4,4
72,128,512,0.3144841249991259,1,1,4,4
73,128,512,0.31302532498784785,1,1,4,4
74,128,512,0.30804245000126684,1,1,4,4
75,128,512,0.31718862496745714,1,1,4,4
76,128,512,0.3130171749830879,1,1,4,4
77,128,512,0.3122164000728844,1,1,4,4
78,128,512,0.31266032501662266,1,1,4,4
79,128,512,0.30184335001877116,1,1,4,4
80,128,512,0.3069619999905626,1,1,4,4
81,128,512,0.30931572498502646,1,1,4,4
82,128,512,0.3146861250229449,1,1,4,4
83,128,512,0.314201200012576,1,1,4,4
84,128,512,0.31590432499797316,1,1,4,4
85,128,512,0.31334785002172794,1,1,4,4
86,128,512,0.3162102499913999,1,1,4,4
87,128,512,0.31570920001513514,1,1,4,4
88,128,512,0.31543795001880426,1,1,4,4
89,128,512,0.31227620002027834,1,1,4,4
90,128,512,0.3171535499973288,1,1,4,4
91,128,512,0.31389379997790456,1,1,4,4
92,128,512,0.31845999997131,1,1,4,4
93,128,512,0.30811577503300214,1,1,4,4
94,128,512,0.3001981999432246,1,1,4,4
95,128,512,0.29769307506057885,1,1,4,4
96,128,512,0.2949242500562832,1,1,4,4
97,128,512,0.32017420002148356,1,1,4,4
98,128,512,0.30147725004781023,1,1,4,4
99,128,512,0.32083130001865356,1,1,4,4
100,128,512,0.3183114000421483,1,1,4,4
101,128,512,0.31358602498130494,1,1,4,4
102,128,512,0.3096556749824231,1,1,4,4
103,128,512,0.3050461750717659,1,1,4,4
104,128,512,0.30439575004947983,1,1,4,4
105,128,512,0.3031081499443644,1,1,4,4
106,128,512,0.31713030003857057,1,1,4,4
107,128,512,0.31053462495265194,1,1,4,4
108,128,512,0.30544270000518736,1,1,4,4
109,128,512,0.316639525010487,1,1,4,4
110,128,512,0.30789234994017534,1,1,4,4
111,128,512,0.3056719249912021,1,1,4,4
112,128,512,0.30206602508542346,1,1,4,4
113,128,512,0.3053212750273815,1,1,4,4
114,128,512,0.30637060002618455,1,1,4,4
115,128,512,0.30917155003180596,1,1,4,4
116,128,512,0.3191059249729733,1,1,4,4
117,128,512,0.3136044000257243,1,1,4,4
118,128,512,0.30599467499996535,1,1,4,4
119,128,512,0.32459997495379866,1,1,4,4
120,128,512,0.3090534750185725,1,1,4,4
121,128,512,0.31714579995423264,1,1,4,4
122,128,512,0.3168318000007275,1,1,4,4
123,128,512,0.3224988250167371,1,1,4,4
124,128,512,0.3100195749880186,1,1,4,4
125,128,512,0.3091600749939971,1,1,4,4
126,128,512,0.304831724952237,1,1,4,4
127,128,512,0.3193255000155659,1,1,4,4
128,128,512,0.30453397499741186,1,1,4,4
