M,K,N,latency_ms,num_tiles_M,num_tiles_K,num_tiles_N,total_tiles
128,128,512,0.3043511500891327,1,1,1,1
128,128,528,0.3054182998766919,1,1,2,2
128,128,544,0.3133613497539045,1,1,2,2
128,128,560,0.3148889250041975,1,1,2,2
128,128,576,0.31159910008682346,1,1,2,2
128,128,592,0.30427767519540794,1,1,2,2
128,128,608,0.3075924750191916,1,1,2,2
128,128,624,0.3063398749418411,1,1,2,2
128,128,640,0.3099226250924403,1,1,2,2
128,128,656,0.31623052491340786,1,1,2,2
128,128,672,0.317397450135104,1,1,2,2
128,128,688,0.312747074985964,1,1,2,2
128,128,704,0.3107458501290239,1,1,2,2
128,128,720,0.31466182513213425,1,1,2,2
128,128,736,0.312873149960069,1,1,2,2
128,128,752,0.31840867504797643,1,1,2,2
128,128,768,0.3159349000270595,1,1,2,2
128,128,784,0.31803309993847506,1,1,2,2
128,128,800,0.30949257502470573,1,1,2,2
128,128,816,0.3079844248077279,1,1,2,2
128,128,832,0.30998960014585464,1,1,2,2
128,128,848,0.31089815015548083,1,1,2,2
128,128,864,0.30782450012338813,1,1,2,2
128,128,880,0.3219887498744356,1,1,2,2
128,128,896,0.3098327251336741,1,1,2,2
128,128,912,0.3092572750119871,1,1,2,2
128,128,928,0.317120225099643,1,1,2,2
128,128,944,0.3074469751027209,1,1,2,2
128,128,960,0.3238078750200657,1,1,2,2
128,128,976,0.32263077491734293,1,1,2,2
128,128,992,0.32374547508879914,1,1,2,2
128,128,1008,0.3210740249414812,1,1,2,2
256,128,512,0.3144098500342807,2,1,1,2
256,128,528,0.3178968002430338,2,1,2,4
256,128,544,0.3167678501085902,2,1,2,4
256,128,560,0.3287264750269969,2,1,2,4
256,128,576,0.3209535998848878,2,1,2,4
256,128,592,0.33024400013346167,2,1,2,4
256,128,608,0.31904865004435123,2,1,2,4
256,128,624,0.31979374989532516,2,1,2,4
256,128,640,0.32477499994456593,2,1,2,4
256,128,656,0.3177628751927841,2,1,2,4
256,128,672,0.3223188500669494,2,1,2,4
256,128,688,0.32380754992118455,2,1,2,4
256,128,704,0.3222117499262822,2,1,2,4
256,128,720,0.33318367491119716,2,1,2,4
256,128,736,0.32731282508393633,2,1,2,4
256,128,752,0.3254602250763128,2,1,2,4
256,128,768,0.3391869252027391,2,1,2,4
256,128,784,0.34299459980502434,2,1,2,4
256,128,800,0.3435603749949223,2,1,2,4
256,128,816,0.343444374811952,2,1,2,4
256,128,832,0.3409568498682347,2,1,2,4
256,128,848,0.33597632518649334,2,1,2,4
