M,K,N,latency_ms,num_tiles_M,num_tiles_K,num_tiles_N,total_tiles
128,128,128,0.29578650000701145,1,1,1,1
160,128,128,0.292206849997001,2,1,1,2
192,128,128,0.3028790000001891,2,1,1,2
224,128,128,0.29682829999444493,2,1,1,2
256,128,128,0.28923819999420175,2,1,1,2
288,128,128,0.30490544999679514,3,1,1,3
320,128,128,0.30742760000634917,3,1,1,3
352,128,128,0.3077791999970714,3,1,1,3
384,128,128,0.30289690000131486,3,1,1,3
416,128,128,0.30261269999130036,4,1,1,4
448,128,128,0.309163149998426,4,1,1,4
480,128,128,0.3050380000132691,4,1,1,4
512,128,128,0.2980625000020609,4,1,1,4
544,128,128,0.3137095999932171,5,1,1,5
576,128,128,0.3112400000020443,5,1,1,5
608,128,128,0.31315775000280155,5,1,1,5
640,128,128,0.3119726499960507,5,1,1,5
672,128,128,0.3118191500021794,6,1,1,6
704,128,128,0.31776009999759935,6,1,1,6
736,128,128,0.31281320000005053,6,1,1,6
768,128,128,0.31902740000191443,6,1,1,6
800,128,128,0.3179794999994101,7,1,1,7
832,128,128,0.3163607000118418,7,1,1,7
864,128,128,0.30880154999977094,7,1,1,7
896,128,128,0.33179299999801515,7,1,1,7
928,128,128,0.328352700000778,8,1,1,8
960,128,128,0.3222357999874248,8,1,1,8
992,128,128,0.327596449989187,8,1,1,8
1024,128,128,0.3157455999968306,8,1,1,8
1056,128,128,0.32158169999263464,9,1,1,9
1088,128,128,0.33341605000600794,9,1,1,9
1120,128,128,0.3339049000004479,9,1,1,9
1152,128,128,0.3286887999990995,9,1,1,9
1184,128,128,0.3423479500014537,10,1,1,10
1216,128,128,0.33159580000017286,10,1,1,10
1248,128,128,0.3252602999964438,10,1,1,10
1280,128,128,0.36511540000105924,10,1,1,10
1312,128,128,0.3292019500065635,11,1,1,11
1344,128,128,0.33140035000087664,11,1,1,11
1376,128,128,0.3364530499851526,11,1,1,11
1408,128,128,0.3361000000012382,11,1,1,11
1440,128,128,0.33725744999912877,12,1,1,12
1472,128,128,0.33709309999778725,12,1,1,12
1504,128,128,0.33784295000316433,12,1,1,12
1536,128,128,0.3366039500036777,12,1,1,12
1568,128,128,0.3362535999968941,13,1,1,13
1600,128,128,0.3519487500000196,13,1,1,13
1632,128,128,0.3364080000011427,13,1,1,13
1664,128,128,0.34081860000867437,13,1,1,13
1696,128,128,0.34995125000989447,14,1,1,14
1728,128,128,0.34008505000713285,14,1,1,14
1760,128,128,0.34284760000957704,14,1,1,14
1792,128,128,0.3466547499954231,14,1,1,14
1824,128,128,0.3590553000009322,15,1,1,15
1856,128,128,0.35880144999680397,15,1,1,15
1888,128,128,0.35171334998835846,15,1,1,15
1920,128,128,0.3681256500016161,15,1,1,15
1952,128,128,0.35062770000138244,16,1,1,16
1984,128,128,0.35443765000309213,16,1,1,16
2016,128,128,0.3541502499984972,16,1,1,16
2048,128,128,0.3463791499967783,16,1,1,16
