M,K,N,latency_ms,num_tiles_M,num_tiles_K,num_tiles_N,total_tiles
128,128,128,0.2818860000843415,1,1,1,1
128,128,160,0.29118649990778067,1,1,2,2
128,128,192,0.2865882001060527,1,1,2,2
128,128,224,0.3077905000282044,1,1,2,2
128,128,256,0.29182849984863424,1,1,2,2
128,128,288,0.29204209977251594,1,1,3,3
128,128,320,0.2899421999245533,1,1,3,3
128,128,352,0.2970490999359754,1,1,3,3
128,128,384,0.29889929974160623,1,1,3,3
128,128,416,0.30738249979549437,1,1,4,4
128,128,448,0.3024176998223993,1,1,4,4
128,128,480,0.29921060013293754,1,1,4,4
128,128,512,0.3214979999938805,1,1,4,4
128,128,544,0.3183868999258266,1,1,5,5
128,128,576,0.3179478001584357,1,1,5,5
128,128,608,0.31755990003148327,1,1,5,5
128,128,640,0.3172158999404928,1,1,5,5
128,128,672,0.3217149000192876,1,1,6,6
128,128,704,0.3264410001975193,1,1,6,6
128,128,736,0.3224331999263086,1,1,6,6
128,128,768,0.3065467999476823,1,1,6,6
128,128,800,0.32577719994151266,1,1,7,7
128,128,832,0.3158648999487923,1,1,7,7
128,128,864,0.3204589000233682,1,1,7,7
128,128,896,0.3070155000386876,1,1,7,7
128,128,928,0.3354063998813217,1,1,8,8
128,128,960,0.3200089001438755,1,1,8,8
128,128,992,0.32459709982504137,1,1,8,8
128,128,1024,0.3239009001845261,1,1,8,8
