batch_seq_actual,batch_seq_bucket,hidden_dim,intermediate_dim,padding_size,padding_pct,npu_only_ms,npu_only_std
2,128,4096,14336,126,6300.0,1.0448784000118394,0.032110024646138366
64,128,4096,14336,64,100.0,1.0967002100233003,0.05418689386999706
96,128,4096,14336,32,33.33333333333333,1.051893000058044,0.051759339299565346
115,128,4096,14336,13,11.304347826086957,1.0529397599839285,0.09196782972105277
127,128,4096,14336,1,0.7874015748031495,1.0740742199914166,0.02764032464968019
128,128,4096,14336,0,0.0,1.0928776599894263,0.042610738765996976
129,256,4096,14336,127,98.44961240310077,3.07653014999687,0.15106950393912036
192,256,4096,14336,64,33.33333333333333,3.0335882400277114,0.15699668742473077
230,256,4096,14336,26,11.304347826086957,3.0879659600486775,0.16388174435175448
255,256,4096,14336,1,0.39215686274509803,2.812937330004388,0.24647616404538103
256,256,4096,14336,0,0.0,2.4842295600365105,0.18317689228564366
257,512,4096,14336,255,99.22178988326849,4.270996010004637,0.1238929311630939
384,512,4096,14336,128,33.33333333333333,4.033154120006657,0.2549318193919447
460,512,4096,14336,52,11.304347826086957,3.754087790007361,0.3247395333045051
511,512,4096,14336,1,0.19569471624266144,3.59012554000401,0.3099752791367694
512,512,4096,14336,0,0.0,3.4731493499839416,0.09066483838443273
513,1024,4096,14336,511,99.61013645224172,6.794838539999546,0.345005565046041
768,1024,4096,14336,256,33.33333333333333,6.765760489988679,0.4277559270129991
921,1024,4096,14336,103,11.183496199782844,6.857581900017067,0.26582484600481926
1023,1024,4096,14336,1,0.09775171065493646,6.794240980016184,0.3924581070787549
1024,1024,4096,14336,0,0.0,6.840618350001932,0.3217068151259231
1025,2048,4096,14336,1023,99.8048780487805,32.77887627002201,0.5375751638002579
1536,2048,4096,14336,512,33.33333333333333,32.70713253999929,0.548920503390064
1843,2048,4096,14336,205,11.12316874660879,33.22962584999459,0.6741507040720716
2047,2048,4096,14336,1,0.048851978505129456,32.89752340997893,0.6507290502536303
2048,2048,4096,14336,0,0.0,33.23454973002299,0.5984036921831906
2049,4096,4096,14336,2047,99.90239141044412,64.94938831998752,0.9122687893611409
3072,4096,4096,14336,1024,33.33333333333333,65.00224296999477,0.8675788402507183
3686,4096,4096,14336,410,11.12316874660879,64.79071702000056,0.9660067283244131
4095,4096,4096,14336,1,0.02442002442002442,64.24762342999657,0.7192593477544708
4096,4096,4096,14336,0,0.0,64.87930108003638,1.0003108047511362
