M,K,N,latency_ms,cycles,latency_per_cycle
32,128,548,0.27044599999896946,706,0.0003830679886670955
64,128,548,0.27764405000141323,738,0.0003762114498664136
96,128,548,0.2860511500074381,770,0.00037149500000965987
128,128,548,0.2895949500043571,802,0.0003610909601051834
32,128,580,0.27169264999713505,738,0.0003681472222183402
64,128,580,0.27865960000497125,770,0.0003618955844220406
96,128,580,0.28797825000310695,802,0.0003590751246921533
128,128,580,0.2776245999910998,834,0.00033288321341858485
32,128,612,0.2762175000100342,770,0.0003587240259870574
64,128,612,0.2918331000046237,802,0.0003638816708287079
96,128,612,0.288046299999678,834,0.00034537925659433816
128,128,612,0.2875167500008047,866,0.00033200548498938184
32,128,644,0.2738083000053848,802,0.0003414068578620758
64,128,644,0.2804298499995639,834,0.0003362468225414435
96,128,644,0.2892230999975709,866,0.00033397586604800336
128,128,644,0.2857317499945111,898,0.00031818680400279634
32,128,676,0.27487639999890234,834,0.00032958800959101
64,128,676,0.2751663499964252,866,0.000317744053113655
96,128,676,0.29039054998918346,898,0.00032337477727080563
128,128,676,0.28281855000216183,930,0.00030410596774426004
32,128,708,0.2738888000095585,866,0.00031626882218193823
64,128,708,0.27457524999476846,898,0.00030576308462669093
96,128,708,0.28166335000605613,930,0.000302863817210813
128,128,708,0.2892087499901663,962,0.0003006327962475741
32,128,740,0.280971949999298,898,0.00031288635857382847
64,128,740,0.27107659999785483,930,0.0002914802150514568
96,128,740,0.2816218999925013,962,0.0002927462577884629
128,128,740,0.2873382999950991,994,0.0002890727364135806
32,128,772,0.27575449999233115,930,0.00029651021504551736
64,128,772,0.2754218999967861,962,0.0002863013513480105
96,128,772,0.2935518000100501,994,0.0002953237424648391
128,128,772,0.290312049997965,1026,0.0002829552144229678
32,128,804,0.27826559999368783,962,0.000289257380450819
64,128,804,0.2909180000045808,994,0.000292674044270202
96,128,804,0.2834805999981427,1026,0.00027629688108980765
128,128,804,0.3034138500026984,1058,0.0002867805765620968
32,128,836,0.27112054999633983,994,0.0002727570925516497
64,128,836,0.28369020000695855,1026,0.0002765011695974255
96,128,836,0.28656834999765124,1058,0.0002708585538730163
128,128,836,0.28875584999923376,1090,0.00026491362385250804
32,128,868,0.2716982000038115,1026,0.0002648130604325648
64,128,868,0.2866088999951444,1058,0.00027089688090278297
96,128,868,0.28946624998695825,1090,0.00026556536696051216
128,128,868,0.2941822000082084,1122,0.00026219447416061354
32,128,900,0.28102975000194874,1058,0.00026562358223246573
64,128,900,0.2894067999989147,1090,0.00026551082568707774
96,128,900,0.29241315000376744,1122,0.0002606177807520209
128,128,900,0.2947847499967793,1154,0.0002554460571895834
32,128,932,0.2696179499992013,1090,0.00024735591743045994
64,128,932,0.29482085000438474,1122,0.0002627636809308242
96,128,932,0.2873302499978081,1154,0.00024898635181785797
128,128,932,0.2997496999995519,1186,0.0002527400505898414
32,128,964,0.2842395999977043,1122,0.0002533329768250484
64,128,964,0.2846980499867868,1154,0.0002467054159330908
96,128,964,0.2868057500023724,1186,0.00024182609612341687
128,128,964,0.2939346999994541,1218,0.00024132569786490483
32,128,996,0.27050209999686103,1154,0.00023440389947734924
64,128,996,0.27460635000409184,1186,0.00023153992411812128
96,128,996,0.2941864000035821,1218,0.0002415323481145994
128,128,996,0.29213289999745484,1250,0.00023370631999796387
