M,K,N,latency_ms,cycles,latency_per_cycle
128,32,512,0.2870336499995574,670,0.00042840843283516026
136,32,512,0.29554430000189313,678,0.0004359060472004324
144,32,512,0.2834650499835334,686,0.0004132143585765793
152,32,512,0.2930526500222186,694,0.000422266066314436
160,32,512,0.29182865002894687,702,0.0004157103276765625
168,32,512,0.291064049997658,710,0.0004099493661938845
176,32,512,0.2901039499988656,718,0.00040404449860566234
184,32,512,0.2994741500060627,726,0.00041249882920945275
192,32,512,0.2903767499788046,734,0.00039560865119728147
200,32,512,0.30314395000914374,742,0.00040854979785598887
208,32,512,0.2995644999828073,750,0.00039941933331040974
216,32,512,0.2979925000317962,758,0.00039312994727149896
224,32,512,0.29532390000213127,766,0.0003855403394283698
232,32,512,0.3130360499881135,774,0.0004044393410699141
240,32,512,0.2987000000189255,782,0.000381969309487117
248,32,512,0.3159777999940161,790,0.00039997189872660263
256,32,512,0.2946143500025755,798,0.0003691909147901949
264,32,512,0.3216032500063193,806,0.0003990114764346393
272,32,512,0.30262880002283055,814,0.00037177985260789995
280,32,512,0.3139036500442671,822,0.00038187791976188214
288,32,512,0.3037179500097409,830,0.00036592524097559144
296,32,512,0.3103883500102711,838,0.000370391825787913
304,32,512,0.3036949500483388,846,0.0003589774823266416
312,32,512,0.31885605002344164,854,0.00037336774007428765
320,32,512,0.3210607500250262,862,0.00037246026685037846
328,32,512,0.3130811500227537,870,0.0003598633908307514
336,32,512,0.3074202999869158,878,0.00035013701593042797
344,32,512,0.3317108999908669,886,0.00037439153497840507
352,32,512,0.3268046999892249,894,0.00036555335569264533
360,32,512,0.3175804500301638,902,0.00035208475613100195
368,32,512,0.31698894999863114,910,0.00034833950549300127
376,32,512,0.318278049996934,918,0.0003467081154650697
384,32,512,0.31334860002516507,926,0.00033838941687382835
392,32,512,0.32820934998198936,934,0.0003514018736423869
400,32,512,0.3296937999948568,942,0.0003499934182535635
408,32,512,0.3290951999815661,950,0.0003464159999805959
416,32,512,0.3282982499968057,958,0.0003426912839215091
424,32,512,0.3246049999575007,966,0.0003360300206599386
432,32,512,0.32137699997747404,974,0.00032995585213293024
440,32,512,0.32967845000939633,982,0.0003357214358547824
448,32,512,0.3260520500361963,990,0.000329345505087067
456,32,512,0.3231073499819104,998,0.000323754859701313
464,32,512,0.3284611999788467,1006,0.0003265021868577005
472,32,512,0.40655929998365536,1014,0.0004009460552107055
480,32,512,0.32435044998919693,1022,0.00031736834636907725
488,32,512,0.3326399999991736,1030,0.0003229514563098773
496,32,512,0.3441923500190569,1038,0.0003315918593632533
504,32,512,0.3450168500080508,1046,0.00032984402486429333
128,64,512,0.2891238000074736,702,0.0004118572649679111
136,64,512,0.3065045500193264,710,0.00043169654932299494
144,64,512,0.29225094999674184,718,0.00040703474929908336
152,64,512,0.2965638499858869,726,0.000408490151495712
160,64,512,0.2981784999747106,734,0.00040623773838516426
168,64,512,0.30451344995299223,742,0.0004103954851118494
176,64,512,0.2909279999926184,750,0.0003879039999901579
184,64,512,0.30373780003856155,758,0.0004007094987316115
192,64,512,0.28821620001053816,766,0.00037626135771610725
200,64,512,0.3050172500138615,774,0.00039407913438483397
208,64,512,0.2942208000035862,782,0.00037624143222964984
216,64,512,0.311862499995641,790,0.00039476265822233037
224,64,512,0.29395115001307204,798,0.00036835983710911284
232,64,512,0.29808909997655064,806,0.0003698375930230157
240,64,512,0.2922521000186862,814,0.00035903206390501985
248,64,512,0.30775724998193255,822,0.0003744005474232756
256,64,512,0.29291364998016434,830,0.0003529080120242944
264,64,512,0.3121995500464436,838,0.00037255316234659143
272,64,512,0.297893150013806,846,0.0003521195626640733
280,64,512,0.31136935002678,854,0.0003646011124435363
288,64,512,0.30819254998277756,862,0.0003575319605368649
296,64,512,0.30986040001153015,870,0.0003561613793235979
304,64,512,0.31261000001450157,878,0.000356047836007405
312,64,512,0.3198839999413394,886,0.00036104288932431087
320,64,512,0.3213451499505027,894,0.00035944647645470097
328,64,512,0.3155212500246307,902,0.0003498018292955995
336,64,512,0.3174345000161338,910,0.00034882912089685036
344,64,512,0.3191305000200373,918,0.00034763671026147855
352,64,512,0.3205841499948292,926,0.0003462031857395564
360,64,512,0.33341125003971683,934,0.00035697135978556406
368,64,512,0.319797500014829,942,0.00033948779194780147
376,64,512,0.3268784999931995,950,0.00034408263157178896
384,64,512,0.3406970999662917,958,0.0003556337160399705
392,64,512,0.32388040002615526,966,0.00033527991721134085
400,64,512,0.32609799997089794,974,0.0003348028747134476
408,64,512,0.3246309500127609,982,0.00033058141549160985
416,64,512,0.3209678000303029,990,0.000324209899020508
424,64,512,0.33365755001568687,998,0.0003343262024205279
432,64,512,0.31877109998958986,1006,0.0003168698807053577
440,64,512,0.3255995000245093,1014,0.00032110404341667586
448,64,512,0.32188815000608884,1022,0.00031495905088658397
456,64,512,0.37770559996488373,1030,0.00036670446598532404
464,64,512,0.3289131000087764,1038,0.00031687196532637416
472,64,512,0.3381430499757698,1046,0.00032327251431717955
480,64,512,0.3325535499925536,1054,0.00031551570208022164
488,64,512,0.4542043500237014,1062,0.0004276877118867245
